,Entity,Code,Year,Continent,Entity3,Year3,world-regions-according-to-the-united-nations,Entity2,Year2,WHO region,Entity1,Year1,World Region according to the World Bank
148,Marshall Islands,MHL,2015.0,Oceania,Marshall Islands,2021.0,Oceania,Marshall Islands,2020.0,Western Pacific,Marshall Islands,2017.0,East Asia and Pacific
149,Martinique,MTQ,2015.0,North America,Martinique,2021.0,Latin America and Caribbean,,,,,,
150,Mauritania,MRT,2015.0,Africa,Mauritania,2021.0,Sub-Saharan Africa,Mauritania,2020.0,Africa,Mauritania,2017.0,Sub-Saharan Africa
151,Mauritius,MUS,2015.0,Africa,Mauritius,2021.0,Sub-Saharan Africa,Mauritius,2020.0,Africa,Mauritius,2017.0,Sub-Saharan Africa
152,Mayotte,MYT,2015.0,Africa,Mayotte,2021.0,Sub-Saharan Africa,,,,,,
153,Mecklenburg Schwerin,OWID_MEC,2015.0,Europe,,,,,,,,,
154,Mexico,MEX,2015.0,North America,Mexico,2021.0,Latin America and Caribbean,Mexico,2020.0,Americas,Mexico,2017.0,Latin America and Caribbean
155,Micronesia (country),FSM,2015.0,Oceania,,,,Micronesia (country),2020.0,Western Pacific,,,
156,Modena,OWID_MOD,2015.0,Europe,,,,,,,,,
157,Moldova,MDA,2015.0,Europe,Moldova,2021.0,Europe and Northern America,Moldova,2020.0,Europe,Moldova,2017.0,Europe and Central Asia
158,Monaco,MCO,2015.0,Europe,Monaco,2021.0,Europe and Northern America,Monaco,2020.0,Europe,Monaco,2017.0,Europe and Central Asia
159,Mongolia,MNG,2015.0,Asia,Mongolia,2021.0,Eastern and South-Eastern Asia,Mongolia,2020.0,Western Pacific,Mongolia,2017.0,East Asia and Pacific
160,Montenegro,MNE,2015.0,Europe,Montenegro,2021.0,Europe and Northern America,Montenegro,2020.0,Europe,Montenegro,2017.0,Europe and Central Asia
161,Montserrat,MSR,2015.0,North America,Montserrat,2021.0,Latin America and Caribbean,,,,,,
162,Morocco,MAR,2015.0,Africa,Morocco,2021.0,Northern Africa and Western Asia,Morocco,2020.0,Eastern Mediterranean,Morocco,2017.0,Middle East and North Africa
163,Mozambique,MOZ,2015.0,Africa,Mozambique,2021.0,Sub-Saharan Africa,Mozambique,2020.0,Africa,Mozambique,2017.0,Sub-Saharan Africa
164,Myanmar,MMR,2015.0,Asia,Myanmar,2021.0,Eastern and South-Eastern Asia,Myanmar,2020.0,South-East Asia,Myanmar,2017.0,East Asia and Pacific
165,Nagorno-Karabakh,OWID_NAG,2015.0,Asia,,,,,,,,,
166,Namibia,NAM,2015.0,Africa,Namibia,2021.0,Sub-Saharan Africa,Namibia,2020.0,Africa,Namibia,2017.0,Sub-Saharan Africa
167,Nauru,NRU,2015.0,Oceania,Nauru,2021.0,Oceania,Nauru,2020.0,Western Pacific,Nauru,2017.0,East Asia and Pacific
168,Nepal,NPL,2015.0,Asia,Nepal,2021.0,Central and Southern Asia,Nepal,2020.0,South-East Asia,Nepal,2017.0,South Asia
169,Netherlands,NLD,2015.0,Europe,Netherlands,2021.0,Europe and Northern America,Netherlands,2020.0,Europe,Netherlands,2017.0,Europe and Central Asia
170,Netherlands Antilles,ANT,2015.0,North America,,,,,,,,,
171,New Caledonia,NCL,2015.0,Oceania,New Caledonia,2021.0,Oceania,,,,New Caledonia,2017.0,East Asia and Pacific
172,New Zealand,NZL,2015.0,Oceania,New Zealand,2021.0,Oceania,New Zealand,2020.0,Western Pacific,New Zealand,2017.0,East Asia and Pacific
173,Nicaragua,NIC,2015.0,North America,Nicaragua,2021.0,Latin America and Caribbean,Nicaragua,2020.0,Americas,Nicaragua,2017.0,Latin America and Caribbean
174,Niger,NER,2015.0,Africa,Niger,2021.0,Sub-Saharan Africa,Niger,2020.0,Africa,Niger,2017.0,Sub-Saharan Africa
175,Nigeria,NGA,2015.0,Africa,Nigeria,2021.0,Sub-Saharan Africa,Nigeria,2020.0,Africa,Nigeria,2017.0,Sub-Saharan Africa
176,Niue,NIU,2015.0,Oceania,Niue,2021.0,Oceania,Niue,2020.0,Western Pacific,,,
177,Norfolk Island,NFK,2015.0,Oceania,Norfolk Island,2021.0,Oceania,,,,,,
178,North Korea,PRK,2015.0,Asia,North Korea,2021.0,Eastern and South-Eastern Asia,North Korea,2020.0,South-East Asia,North Korea,2017.0,East Asia and Pacific
179,North Macedonia,MKD,2015.0,Europe,North Macedonia,2021.0,Europe and Northern America,North Macedonia,2020.0,Europe,North Macedonia,2017.0,Europe and Central Asia
180,Northern Cyprus,OWID_CYN,2015.0,Asia,,,,,,,,,
181,Northern Mariana Islands,MNP,2015.0,Oceania,Northern Mariana Islands,2021.0,Oceania,,,,Northern Mariana Islands,2017.0,East Asia and Pacific
182,Norway,NOR,2015.0,Europe,Norway,2021.0,Europe and Northern America,Norway,2020.0,Europe,Norway,2017.0,Europe and Central Asia
183,Oman,OMN,2015.0,Asia,Oman,2021.0,Northern Africa and Western Asia,Oman,2020.0,Eastern Mediterranean,Oman,2017.0,Middle East and North Africa
184,Pakistan,PAK,2015.0,Asia,Pakistan,2021.0,Central and Southern Asia,Pakistan,2020.0,Eastern Mediterranean,Pakistan,2017.0,South Asia
185,Palau,PLW,2015.0,Oceania,Palau,2021.0,Oceania,Palau,2020.0,Western Pacific,Palau,2017.0,East Asia and Pacific
186,Palestine,PSE,2015.0,Asia,Palestine,2021.0,Northern Africa and Western Asia,,,,Palestine,2017.0,Middle East and North Africa
187,Panama,PAN,2015.0,North America,Panama,2021.0,Latin America and Caribbean,Panama,2020.0,Americas,Panama,2017.0,Latin America and Caribbean
188,Papua New Guinea,PNG,2015.0,Oceania,Papua New Guinea,2021.0,Oceania,Papua New Guinea,2020.0,Western Pacific,Papua New Guinea,2017.0,East Asia and Pacific
189,Paraguay,PRY,2015.0,South America,Paraguay,2021.0,Latin America and Caribbean,Paraguay,2020.0,Americas,Paraguay,2017.0,Latin America and Caribbean
190,Parma,OWID_PMA,2015.0,Europe,,,,,,,,,
191,Peru,PER,2015.0,South America,Peru,2021.0,Latin America and Caribbean,Peru,2020.0,Americas,Peru,2017.0,Latin America and Caribbean
192,Philippines,PHL,2015.0,Asia,Philippines,2021.0,Eastern and South-Eastern Asia,Philippines,2020.0,Western Pacific,Philippines,2017.0,East Asia and Pacific
193,Pitcairn,PCN,2015.0,Oceania,Pitcairn,2021.0,Oceania,,,,,,
194,Poland,POL,2015.0,Europe,Poland,2021.0,Europe and Northern America,Poland,2020.0,Europe,Poland,2017.0,Europe and Central Asia
195,Portugal,PRT,2015.0,Europe,Portugal,2021.0,Europe and Northern America,Portugal,2020.0,Europe,Portugal,2017.0,Europe and Central Asia
196,Puerto Rico,PRI,2015.0,North America,Puerto Rico,2021.0,Latin America and Caribbean,,,,Puerto Rico,2017.0,Latin America and Caribbean
197,Qatar,QAT,2015.0,Asia,Qatar,2021.0,Northern Africa and Western Asia,Qatar,2020.0,Eastern Mediterranean,Qatar,2017.0,Middle East and North Africa
198,Republic of Vietnam,OWID_RVN,2015.0,Asia,,,,,,,,,
199,Reunion,REU,2015.0,Africa,Reunion,2021.0,Sub-Saharan Africa,,,,,,
200,Romania,ROU,2015.0,Europe,Romania,2021.0,Europe and Northern America,Romania,2020.0,Europe,Romania,2017.0,Europe and Central Asia
201,Russia,RUS,2015.0,Europe,Russia,2021.0,Europe and Northern America,Russia,2020.0,Europe,Russia,2017.0,Europe and Central Asia
202,Rwanda,RWA,2015.0,Africa,Rwanda,2021.0,Sub-Saharan Africa,Rwanda,2020.0,Africa,Rwanda,2017.0,Sub-Saharan Africa
203,Saint Barthélemy,BLM,2015.0,North America,,,,,,,,,
204,Saint Helena,SHN,2015.0,Africa,,,,,,,,,
205,Saint Kitts and Nevis,KNA,2015.0,North America,Saint Kitts and Nevis,2021.0,Latin America and Caribbean,Saint Kitts and Nevis,2020.0,Americas,Saint Kitts and Nevis,2017.0,Latin America and Caribbean
206,Saint Lucia,LCA,2015.0,North America,Saint Lucia,2021.0,Latin America and Caribbean,Saint Lucia,2020.0,Americas,Saint Lucia,2017.0,Latin America and Caribbean
207,Saint Martin (French part),MAF,2015.0,North America,Saint Martin (French part),2021.0,Latin America and Caribbean,,,,Saint Martin (French part),2017.0,Latin America and Caribbean
208,Saint Pierre and Miquelon,SPM,2015.0,North America,,,,,,,,,
209,Saint Vincent and the Grenadines,VCT,2015.0,North America,Saint Vincent and the Grenadines,2021.0,Latin America and Caribbean,Saint Vincent and the Grenadines,2020.0,Americas,Saint Vincent and the Grenadines,2017.0,Latin America and Caribbean
210,Samoa,WSM,2015.0,Oceania,Samoa,2021.0,Oceania,Samoa,2020.0,Western Pacific,Samoa,2017.0,East Asia and Pacific
211,San Marino,SMR,2015.0,Europe,San Marino,2021.0,Europe and Northern America,San Marino,2020.0,Europe,San Marino,2017.0,Europe and Central Asia
212,Sao Tome and Principe,STP,2015.0,Africa,Sao Tome and Principe,2021.0,Sub-Saharan Africa,Sao Tome and Principe,2020.0,Africa,Sao Tome and Principe,2017.0,Sub-Saharan Africa
213,Saudi Arabia,SAU,2015.0,Asia,Saudi Arabia,2021.0,Northern Africa and Western Asia,Saudi Arabia,2020.0,Eastern Mediterranean,Saudi Arabia,2017.0,Middle East and North Africa
214,Saxony,OWID_SAX,2015.0,Europe,,,,,,,,,
215,Senegal,SEN,2015.0,Africa,Senegal,2021.0,Sub-Saharan Africa,Senegal,2020.0,Africa,Senegal,2017.0,Sub-Saharan Africa
216,Serbia,SRB,2015.0,Europe,Serbia,2021.0,Europe and Northern America,Serbia,2020.0,Europe,Serbia,2017.0,Europe and Central Asia
217,Serbia and Montenegro,OWID_SRM,2015.0,Europe,,,,,,,,,
218,Serbia excluding Kosovo,OWID_SEK,2015.0,Europe,,,,,,,,,
219,Seychelles,SYC,2015.0,Africa,Seychelles,2021.0,Sub-Saharan Africa,Seychelles,2020.0,Africa,Seychelles,2017.0,Sub-Saharan Africa
220,Sierra Leone,SLE,2015.0,Africa,Sierra Leone,2021.0,Sub-Saharan Africa,Sierra Leone,2020.0,Africa,Sierra Leone,2017.0,Sub-Saharan Africa
221,Singapore,SGP,2015.0,Asia,Singapore,2021.0,Eastern and South-Eastern Asia,Singapore,2020.0,Western Pacific,Singapore,2017.0,East Asia and Pacific
222,Sint Maarten (Dutch part),SXM,2015.0,North America,Sint Maarten (Dutch part),2021.0,Latin America and Caribbean,,,,Sint Maarten (Dutch part),2017.0,Latin America and Caribbean
223,Slovakia,SVK,2015.0,Europe,Slovakia,2021.0,Europe and Northern America,Slovakia,2020.0,Europe,Slovakia,2017.0,Europe and Central Asia
224,Slovenia,SVN,2015.0,Europe,Slovenia,2021.0,Europe and Northern America,Slovenia,2020.0,Europe,Slovenia,2017.0,Europe and Central Asia
225,Solomon Islands,SLB,2015.0,Oceania,Solomon Islands,2021.0,Oceania,Solomon Islands,2020.0,Western Pacific,Solomon Islands,2017.0,East Asia and Pacific
226,Somalia,SOM,2015.0,Africa,Somalia,2021.0,Sub-Saharan Africa,Somalia,2020.0,Eastern Mediterranean,Somalia,2017.0,Sub-Saharan Africa
227,Somaliland,OWID_SML,2015.0,Africa,,,,,,,,,
228,South Africa,ZAF,2015.0,Africa,South Africa,2021.0,Sub-Saharan Africa,South Africa,2020.0,Africa,South Africa,2017.0,Sub-Saharan Africa
229,South Georgia and the South Sandwich Islands,SGS,2015.0,South America,South Georgia and the South Sandwich Islands,2021.0,Latin America and Caribbean,,,,,,
230,South Korea,KOR,2015.0,Asia,South Korea,2021.0,Eastern and South-Eastern Asia,South Korea,2020.0,Western Pacific,South Korea,2017.0,East Asia and Pacific
231,South Ossetia,OWID_SOS,2015.0,Asia,,,,,,,,,
232,South Sudan,SSD,2015.0,Africa,South Sudan,2021.0,Sub-Saharan Africa,South Sudan,2020.0,Africa,South Sudan,2017.0,Sub-Saharan Africa
233,Spain,ESP,2015.0,Europe,Spain,2021.0,Europe and Northern America,Spain,2020.0,Europe,Spain,2017.0,Europe and Central Asia
234,Sri Lanka,LKA,2015.0,Asia,Sri Lanka,2021.0,Central and Southern Asia,Sri Lanka,2020.0,South-East Asia,Sri Lanka,2017.0,South Asia
235,Sudan,SDN,2015.0,Africa,Sudan,2021.0,Northern Africa and Western Asia,Sudan,2020.0,Eastern Mediterranean,Sudan,2017.0,Sub-Saharan Africa
236,Suriname,SUR,2015.0,South America,Suriname,2021.0,Latin America and Caribbean,Suriname,2020.0,Americas,Suriname,2017.0,Latin America and Caribbean
237,Svalbard and Jan Mayen,SJM,2015.0,Europe,,,,,,,,,
238,Sweden,SWE,2015.0,Europe,Sweden,2021.0,Europe and Northern America,Sweden,2020.0,Europe,Sweden,2017.0,Europe and Central Asia
239,Switzerland,CHE,2015.0,Europe,Switzerland,2021.0,Europe and Northern America,Switzerland,2020.0,Europe,Switzerland,2017.0,Europe and Central Asia
