Report generated on: 05-01-2022 18:05:54
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.44-2-WORL-QBTU.A","    Consumption (quad Btu)","292.89978962044677","289.40102169937586","289.6911022148106","293.73162574512844","307.2343654436228","315.4271480750418","322.18485367832346","332.7462452429408","345.56087642070815","351.3523729640686","353.3399940411998","353.68172825266265","352.64228768441495","355.4662968478731","359.29866188767966","369.1241633213886","378.9459761271673","380.11923255176293","382.2875870390622","389.45615073288894","402.08017996065087","404.9102612687243","413.6561439321228","428.1725979053932","450.3406637045405","464.92315794930886","479.67835363353186","492.71891893584353","499.50816913129785","494.7743108360878","526.3021490318052","540.0784563574472","551.1364027374472","560.6596677900774","565.6989669693431","566.9253277456027","571.7958795445517","583.8253985889394","597.2348387602513","600.2658972060561"
"","        Nuclear, renewables, and other (quad Btu)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4418-2-WORL-QBTU.A","            Renewables and other (quad Btu)","20.70234415413618","21.113323652314552","21.722309955084427","22.947336629455624","23.543215518272262","23.80220229548592","24.228503721597203","24.12685092092971","24.927484099754743","25.437552345314675","25.908893054595033","26.531526306263995","26.53596329186414","27.80648555402204","28.116891161611893","29.456731515802208","30.070744548447397","30.404385149587227","30.365889315038185","31.03322500912221","31.460688595116743","31.136685149902835","31.419847101693456","31.764207430108247","33.5973026911716","35.29015024240279","36.64512655476818","37.70498564193331","40.016951188105374","41.350139783721495","44.82284592260367","46.78222315519191","48.76117307033224","52.39401360281473","54.69472861867955","55.70592472833039","58.88191485585957","62.0294952303071","65.38711669370797","67.27965575210928"
"","Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.44-2-AFG-QBTU.A","    Consumption (quad Btu)","0.02658321667756184","0.029949457623843767","0.031897814673808554","0.03902180313163165","0.03920224040186807","0.03827496129519434","0.039111198580053776","0.06306515769145625","0.11122078650562646","0.10936453856934128","0.10832034143696309","0.04743819775898182","0.03128176575298239","0.031068733251352468","0.030081108758152546","0.02534847326495263","0.02486021943357976","0.02367338825784984","0.02303955525784984","0.02302743728319992","0.020178061853199918","0.01591449045921003","0.015109508584207386","0.01776927950701234","0.016413668953812403","0.020995960691609476","0.026428278277012326","0.03425470933468043","0.05852648285351456","0.09534879450216566","0.11853852864995157","0.16105080218714038","0.1476076485691699","0.12450427328434109","0.1143137511302674","0.12629013628746977","0.11757565429923286","0.12494125714475693","0.14327311946093876","0.12274842133951257"
"","        Nuclear, renewables, and other (quad Btu)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4418-2-AFG-QBTU.A","            Renewables and other (quad Btu)","0.00738587033919","0.00753661488902","0.00739098127341","0.0078479335772","0.00790308","0.00804419","0.007447998","0.007876764","0.007681056","0.007824","0.007863912","0.007554288","0.005338738","0.00518643","0.005254308","0.004657984","0.00410806","0.003629786","0.0034003","0.003409","0.003523912","0.005487034","0.005987215","0.00671995","0.00600024","0.00625767","0.007792387","0.00947114","0.00790679054","0.011515596","0.0126933468","0.0134472868","0.01750106","0.020778165","0.02216852","0.022529794","0.024570116","0.025756476","0.025797592","0.024595264"
"","Albania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.44-2-ALB-QBTU.A","    Consumption (quad Btu)","0.16298182182124926","0.16204449273682853","0.16284611700217974","0.16933585149179003","0.1704057218202433","0.17005625500667076","0.16607537777033485","0.1666405283961216","0.1685908728103857","0.16034057953517927","0.11484532651489701","0.09632368949498195","0.08419123835829688","0.07383345482247178","0.07017822073745411","0.07754968357728133","0.08534262686100279","0.07794667369496719","0.08384251513623263","0.07545623437158866","0.0980373559405912","0.09292334270457393","0.1006494838387759","0.11352238408455871","0.12108508433524132","0.11947154054209015","0.11248945390078424","0.09682509365857128","0.10574486401881655","0.115238061781209","0.12304402332284661","0.10743348644120246","0.1051279333181231","0.13193111766441915","0.11621639284070061","0.11629730243544255","0.1296073826057356","0.12535309157946248","0.14218504560125175","0.11074824093269141"
"","        Nuclear, renewables, and other (quad Btu)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4418-2-ALB-QBTU.A","            Renewables and other (quad Btu)","0.0288972299190732","0.0300365102227232","0.0307382846361532","0.0316356459549632","0.0320694883155632","0.0329232573155632","0.0332989383155632","0.03963418297867584","0.036786365978675836","0.03898767797867584","0.0300331","0.034137612","0.031404082","0.033622521","0.038516452","0.043177856","0.0580033","0.050403578","0.050972932","0.054713702","0.050072284","0.042267999","0.042680025","0.054935017","0.0558241","0.054450533","0.051193701","0.036963096","0.045345994","0.055804696","0.06650513348","0.05160951968","0.0555427934","0.07366747781","0.0549501016","0.05916885695","0.07100151456","0.05122712975","0.07396936992","0.05429597824"
"","Algeria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
