,Year,MSN,USA,US,d_USA
111,1960,ESTXP,688075.0,688075.0,0.0
112,1960,FFETK,0.0,10.76,-10.76
113,1960,FFTCB,42089531.0,42083902.0,5629.0
114,1960,FNICB,0.0,0.0,0.0
115,1960,FNICP,0.0,0.0,0.0
116,1960,FOICB,0.0,0.0,0.0
117,1960,FOICP,0.0,0.0,0.0
118,1960,FSICB,0.0,0.0,0.0
119,1960,FSICP,0.0,0.0,0.0
120,1960,GECCB,0.0,0.0,0.0
121,1960,GEEGB,359.0,359.0,0.0
122,1960,GEEGP,33.0,33.0,0.0
123,1960,GEICB,0.0,0.0,0.0
124,1960,GERCB,0.0,0.0,0.0
125,1960,GETCB,359.0,359.0,0.0
126,1960,GETXB,0.0,0.0,0.0
127,1960,HLACB,18802.0,18805.0,-3.0
128,1960,HLACP,4899.0,4896.0,3.0
129,1960,HLCCB,81145.0,81147.0,-2.0
130,1960,HLCCP,21129.0,21126.0,3.0
131,1960,HLICB,460827.0,460830.0,-3.0
132,1960,HLICK,192.93299999999996,3.783,189.14999999999998
133,1960,HLICP,121809.0,121811.0,-2.0
134,1960,HLRCB,305196.0,305197.0,-1.0
135,1960,HLRCP,79455.0,79458.0,-3.0
136,1960,HLTCB,865978.0,865979.0,-1.0
137,1960,HLTCK,194.952,3.81,191.142
138,1960,HLTCP,227290.0,227291.0,-1.0
139,1960,HLTXB,865978.0,865979.0,-1.0
140,1960,HLTXP,227290.0,227291.0,-1.0
141,1960,HYCCB,0.0,0.0,0.0
142,1960,HYCCP,0.0,0.0,0.0
143,1960,HYEGB,1569171.0,1569167.0,4.0
144,1960,HYEGP,145837.0,145833.0,4.0
145,1960,HYICB,38808.0,38808.0,0.0
146,1960,HYICP,3606.0,3607.0,-1.0
147,1960,HYTCB,1607976.0,1607975.0,1.0
148,1960,HYTCP,149444.0,149440.0,4.0
149,1960,HYTXB,38808.0,38808.0,0.0
150,1960,HYTXP,3606.0,3607.0,-1.0
151,1960,JFACB,738527.0,738522.0,5.0
152,1960,JFACP,135961.0,135962.0,-1.0
153,1960,JFTCB,738527.0,738522.0,5.0
154,1960,JFTCP,135961.0,135962.0,-1.0
155,1960,JFTXB,738527.0,738522.0,5.0
156,1960,JFTXP,135961.0,135962.0,-1.0
157,1960,KSCCB,47993.0,47992.0,1.0
158,1960,KSCCP,8465.0,8464.0,1.0
159,1960,KSICB,161116.0,161116.0,0.0
160,1960,KSICP,28415.0,28416.0,-1.0
161,1960,KSRCB,354148.0,354149.0,-1.0
162,1960,KSRCP,62463.0,62460.0,3.0
163,1960,KSTCB,563260.0,563258.0,2.0
164,1960,KSTCP,99343.0,99340.0,3.0
165,1960,KSTXB,563260.0,563258.0,2.0
166,1960,KSTXP,99343.0,99340.0,3.0
167,1960,LOACB,25866.0,25867.0,-1.0
168,1960,LOCCB,1343749.0,1343746.0,3.0
169,1960,LOICB,2738246.0,2738244.0,2.0
170,1960,LORCB,1701402.0,1701405.0,-3.0
171,1960,LOTCB,5809263.0,5809262.0,1.0
172,1960,LOTXB,5809263.0,5809262.0,1.0
173,1960,LUACB,151862.0,151860.0,2.0
174,1960,LUACP,25038.0,25039.0,-1.0
175,1960,LUICB,106970.0,106970.0,0.0
176,1960,LUICP,17638.0,17637.0,1.0
177,1960,LUTCB,258835.0,258830.0,5.0
178,1960,LUTCP,42679.0,42676.0,3.0
179,1960,LUTXB,258835.0,258830.0,5.0
180,1960,LUTXP,42679.0,42676.0,3.0
181,1960,MBICB,0.0,0.0,0.0
182,1960,MBICP,0.0,0.0,0.0
183,1960,MBTCK,0.0,5.253,-5.253
184,1960,MGACB,7182528.0,7182528.0,0.0
185,1960,MGACP,1367322.0,1367319.0,3.0
186,1960,MGCCB,66905.0,66905.0,0.0
187,1960,MGCCP,12739.0,12737.0,2.0
188,1960,MGICB,381369.0,381369.0,0.0
189,1960,MGICP,72603.0,72600.0,3.0
190,1960,MGTCB,7630804.0,7630802.0,2.0
191,1960,MGTCK,0.0,5.253,-5.253
192,1960,MGTCP,1452659.0,1452656.0,3.0
193,1960,MGTXB,7630804.0,7630802.0,2.0
194,1960,MGTXP,1452659.0,1452656.0,3.0
195,1960,MMTCB,7630804.0,7630802.0,2.0
196,1960,MSICB,146106.0,146106.0,0.0
197,1960,MSICP,25207.0,25208.0,-1.0
198,1960,NAICB,0.0,0.0,0.0
199,1960,NAICP,0.0,0.0,0.0
200,1960,NCPRB,1608335.0,1608334.0,1.0
201,1960,NGACB,359220.0,359223.0,-3.0
202,1960,NGACP,347075.0,347075.0,0.0
203,1960,NGCCB,1055931.0,1055930.0,1.0
204,1960,NGCCP,1020222.0,1020222.0,0.0
205,1960,NGEIB,1785129.0,1785129.0,0.0
206,1960,NGEIK,44.50499999999999,1.035,43.46999999999999
207,1960,NGEIP,1724763.0,1724762.0,1.0
208,1960,NGICB,5973308.0,5973306.0,2.0
209,1960,NGICP,5771310.0,5771311.0,-1.0
210,1960,NGLPB,1280068.0,1280068.0,0.0
211,1960,NGMPB,14131457.0,14131456.0,1.0
212,1960,NGMPK,33.787000000000006,1.107,32.68000000000001
213,1960,NGMPP,12771038.0,12771038.0,0.0
214,1960,NGPZB,359220.0,359223.0,-3.0
215,1960,NGRCB,3211778.0,3211778.0,0.0
216,1960,NGRCP,3103167.0,3103167.0,0.0
217,1960,NGTCB,12385366.0,12385366.0,0.0
218,1960,NGTCK,52.78499999999999,1.035,51.74999999999999
219,1960,NGTCP,11966537.0,11966537.0,0.0
220,1960,NGTPB,3270.3999999999996,68.6,3201.7999999999997
221,1960,NGTPP,3160.2,66.2,3094.0
222,1960,NGTXB,10600239.0,10600237.0,2.0
223,1960,NGTXK,49.67999999999999,1.035,48.644999999999996
224,1960,NGTXP,10241774.0,10241775.0,-1.0
225,1960,NNTCB,12385366.0,12385366.0,0.0
226,1960,NUEGB,6027.0,6026.0,1.0
227,1960,NUEGP,518.0,518.0,0.0
228,1960,NUETB,6027.0,6026.0,1.0
229,1960,NUETK,0.0,11.629,-11.629
230,1960,NUETP,518.0,518.0,0.0
231,1960,OPICB,947560.0,947559.0,1.0
232,1960,OPICP,159126.0,159126.0,0.0
233,1960,OPTCB,947560.0,947559.0,1.0
234,1960,OPTCP,159126.0,159126.0,0.0
235,1960,OPTXB,947560.0,947559.0,1.0
236,1960,OPTXP,159126.0,159126.0,0.0
237,1960,P1ICB,2277568.0,2277566.0,2.0
238,1960,P1ICP,370223.0,370227.0,-4.0
239,1960,P1TCB,3129473.0,3129471.0,2.0
240,1960,P1TCP,525203.0,525204.0,-1.0
241,1960,P1TXB,3129473.0,3129471.0,2.0
242,1960,P1TXP,525203.0,525204.0,-1.0
243,1960,PAACB,10125440.0,10125440.0,0.0
244,1960,PAACK,0.0,5.387,-5.387
245,1960,PAACP,1879580.0,1879579.0,1.0
246,1960,PACCB,1248150.0,1248150.0,0.0
247,1960,PACCK,0.0,5.781,-5.781
248,1960,PACCP,215899.0,215900.0,-1.0
249,1960,PAEIB,552715.0,552715.0,0.0
250,1960,PAEIK,0.0,6.267,-6.267
251,1960,PAEIP,88195.0,88195.0,0.0
252,1960,PAICB,5719803.0,5719806.0,-3.0
253,1960,PAICK,0.0,5.772,-5.772
254,1960,PAICP,991011.0,991010.0,1.0
255,1960,PAPRB,14934611.0,14934611.0,0.0
256,1960,PAPRP,2574933.0,2574933.0,0.0
257,1960,PARCB,2227542.0,2227541.0,1.0
258,1960,PARCK,0.0,5.418,-5.418
259,1960,PARCP,411137.0,411136.0,1.0
260,1960,PATCB,19873652.0,19873652.0,0.0
261,1960,PATCK,0.0,5.542,-5.542
262,1960,PATCP,3585818.0,3585820.0,-2.0
263,1960,PATPB,6179.0,110.0,6069.0
264,1960,PATPP,1117.6999999999998,19.8,1097.8999999999999
265,1960,PATXB,19320937.0,19320937.0,0.0
266,1960,PATXP,3497627.0,3497625.0,2.0
267,1960,PCCCB,0.0,0.0,0.0
268,1960,PCCCP,0.0,0.0,0.0
269,1960,PCCTK,0.0,6.024,-6.024
270,1960,PCEIB,0.0,0.0,0.0
271,1960,PCEIP,0.0,0.0,0.0
272,1960,PCICB,328143.0,328139.0,4.0
273,1960,PCICP,54472.0,54472.0,0.0
274,1960,PCMKK,0.0,6.024,-6.024
275,1960,PCRFB,302678.0,302676.0,2.0
276,1960,PCTCB,328143.0,328139.0,4.0
277,1960,PCTCP,54472.0,54472.0,0.0
278,1960,PCTXB,328143.0,328139.0,4.0
279,1960,PCTXP,54472.0,54472.0,0.0
280,1960,PLICB,0.0,0.0,0.0
281,1960,PLICP,0.0,0.0,0.0
