iso_code,country,year,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_cons_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,gdp,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,population,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
LBR,Liberia,2016,,,,,0.0,0.0,0.0,,710.526,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.38,0.38,14.97,0.728,1218.745,1.474,,,82.847,0.38,,,100.0,,,,,0.0,0.0,,,,,,0.0,,3793504000.0,0.27,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,82.847,0.38,,,,,,100.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,82.847,4586788.0,5.59,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,
LBY,Libya,2016,,,,,0.0,0.0,0.0,,546.378,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,29.92,29.54,-2.12,-3.82,27169.587,3.396,,,4548.563,29.53,,,99.966,,,,,3325.55,21.59,,0.5,0.736,22784.328,147.92,73.087,,51938049762.0,16.14,,,,0.0,0.0,,0.0,,,,,1.54,0.01,,0.034,,0.38,1.27,,,,0.0,0.0,,0.0,,,,,1223.014,7.94,,-5.52,-13.131,34620.723,224.763,26.879,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,4550.104,6492160.0,176.389,,,,1.54,0.01,,0.034,,,,,1.54,0.01,,0.034,,,,,0.0,0.0,,0.0,
LCA,Saint Lucia,2016,,,,,0.0,0.0,0.0,,702.703,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.37,0.37,1.081,0.02,10338.117,1.109,,,2055.236,0.37,,,100.0,,,,,0.0,0.0,,,,,,0.0,,1678212000.0,0.26,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,2055.236,0.37,,,,,,100.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,2055.236,180028.0,1.861,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,
LKA,Sri Lanka,2016,,,,,6.184,0.13,0.952,,504.392,5.864,0.845,725.651,15.254,186.479,3.92,,0.0,0.0,0.0,28.697,17.718,13.66,13.66,6.542,5.287,4095.56,0.363,14.955,9.653,427.664,8.99,3529.546,74.195,65.813,86.18,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,236870760519.0,6.89,-29.656,-4.486,10.641,198.847,4.18,506.225,30.6,12.36,-26.843,-4.366,11.898,222.157,4.67,566.017,34.187,13.82,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.568,8.808,58.941,241.185,5.07,2803.895,,,,,37.116,68.462,0.181,0.13,0.0,24.82,0.036,6.184,0.0,8.609,0.952,0.0,0.21,649.821,21021178.0,86.093,-26.843,-4.366,11.898,222.157,4.67,566.017,34.187,13.82,69.292,0.085,0.209,0.951,0.02,9.926,0.146,0.242,-0.111,-0.001,0.867,16.174,0.34,41.257,2.489,1.007
LSO,Lesotho,2016,,,,,0.0,0.0,0.0,,19.231,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.89,0.52,8.2,0.348,2214.783,0.85,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,,,,0.0,,5403951000.0,0.01,,,,250.597,0.52,,100.0,,,,,250.597,0.52,,100.0,,0.37,41.573,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,250.597,2075041.0,4.596,,,,250.597,0.52,,100.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,
LTU,Lithuania,2016,,,,,152.273,0.44,12.903,,243.402,1.316,0.028,743.791,2.149,0.0,0.0,,0.0,0.0,0.0,0.0,3.334,11.68,3.41,1.727,1.095,22312.538,0.909,0.377,0.22,453.357,1.31,20267.656,58.565,38.416,90.835,-10.895,-2.619,21.419,342.613,0.99,7412.445,,0.0,0.0,0.0,29.032,33.221,70911025458.0,0.83,29.066,0.257,1.141,155.733,0.45,395.032,13.196,1.77,23.608,1.003,5.252,726.756,2.1,1817.72,61.584,8.147,8.27,70.805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.734,2.811,34.997,110.744,0.32,12111.42,0.274,0.003,436.933,1.263,9.384,54.281,1.087,0.44,0.0,-3.753,-0.042,152.273,0.0,376.233,12.903,0.0,1.686,1180.113,2889555.0,64.473,23.608,1.003,5.252,726.756,2.1,1817.72,61.584,8.147,-9.814,-0.018,0.167,24.225,0.07,57.875,2.053,0.259,39.353,0.807,2.857,394.524,1.14,988.58,33.431,4.431
LUX,Luxembourg,2016,,,,,241.685,0.14,17.722,,265.823,6.61,0.038,1051.721,0.609,0.0,0.0,,0.0,0.0,0.0,0.0,1.439,7.09,0.79,-1.323,-0.568,73087.579,1.269,-1.706,-0.697,569.686,0.33,69356.973,40.176,41.772,94.896,-7.78,-0.696,8.247,448.844,0.26,14237.026,,,,,32.911,19.479,33357814650.0,0.21,15.592,0.039,0.29,207.159,0.12,501.039,15.19,0.686,5.504,0.06,1.15,794.108,0.46,1984.877,58.228,2.716,6.3,88.858,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.125,-0.039,31.32,120.843,0.07,54068.227,,,,,8.861,73.977,0.352,0.14,0.0,10.499,0.033,241.685,0.0,607.867,17.722,0.0,0.832,1363.795,579266.0,42.337,5.504,0.06,1.15,794.108,0.46,1984.877,58.228,2.716,-3.882,-0.01,0.252,172.632,0.1,435.385,12.658,0.596,-0.945,-0.002,0.255,172.632,0.1,440.586,12.658,0.603
LVA,Latvia,2016,,,,,415.344,0.82,12.773,,263.24,-11.332,-0.061,241.523,0.477,0.0,0.0,,0.0,0.0,0.0,0.0,1.096,7.45,6.42,6.373,2.606,22031.727,1.005,3.064,1.028,1489.162,2.94,17520.882,34.591,45.794,79.526,3.55,0.452,13.196,1489.162,2.94,6683.948,,0.0,0.0,0.0,45.794,30.338,43297224535.0,1.69,34.584,1.634,6.36,1281.49,2.53,3221.41,39.408,14.622,24.336,1.714,8.757,1762.681,3.48,4435.816,54.206,20.134,1.03,13.826,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14,0.637,20.918,0.0,0.0,10595.41,,0.0,0.0,0.0,0.0,48.092,2.07,0.82,0.0,6.389,0.124,415.344,0.0,1048.327,12.773,0.0,4.758,3251.843,1974265.0,43.496,24.336,1.714,8.757,1762.681,3.48,4435.816,54.206,20.134,90.11,0.0,0.001,0.0,0.0,0.487,0.0,0.002,-12.088,-0.045,0.327,65.847,0.13,165.592,2.025,0.752
MAC,Macao,2016,,,,,0.0,0.0,0.0,,494.949,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,5.3,0.99,-1.342,-0.174,20863.043,,,,1615.472,0.99,,,100.0,,,,,1615.472,0.99,,,,,,100.0,,,0.49,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,4.31,81.321,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,1615.472,612824.0,12.785,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,
MAR,Morocco,2016,,,,,1.139,0.04,0.14,,621.489,-3.638,-1.881,1418.197,49.816,416.782,14.64,,0.0,0.0,0.0,51.404,22.467,33.63,28.48,1.072,2.352,6312.329,0.793,0.863,1.797,688.943,24.2,5978.904,210.017,84.972,94.718,1.625,0.184,11.482,143.767,5.05,326.877,-8.511,-0.086,26.25,0.922,17.732,5.178,279436949874.0,17.7,-33.779,-1.611,3.158,35.301,1.24,89.899,4.354,1.424,4.98,0.556,11.712,121.846,4.28,333.43,15.028,5.282,5.15,15.314,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.406,3.494,148.719,128.394,4.51,4233.83,0.274,0.0,2.806,0.099,15.836,67.072,0.0,0.04,0.0,,0.0,1.139,0.0,0.0,0.14,0.0,0.0,810.789,35126272.0,221.729,4.98,0.556,11.712,121.846,4.28,333.43,15.028,5.282,6903.626,0.995,1.01,0.0,0.0,28.745,0.0,0.455,18.375,1.171,7.545,85.406,3.0,214.786,10.534,3.403
