,StateCode,Year,MSN,Data
168,DE,2008,Solar,50.0
169,DE,2009,Solar,85.0
170,DE,2010,Solar,125.0
171,DE,2011,Solar,383.0
172,DE,2012,Solar,607.0
173,DE,2013,Solar,1001.0
174,DE,2014,Solar,1189.0
175,DE,2015,Solar,1230.0
176,DE,2016,Solar,1133.0
177,DE,2017,Solar,1354.0
178,DE,2018,Solar,1492.0
179,DE,2019,Solar,1628.0
180,FL,2000,Solar,27909.0
181,FL,2001,Solar,26770.0
182,FL,2002,Solar,25656.0
183,FL,2003,Solar,24706.0
184,FL,2004,Solar,23957.0
185,FL,2005,Solar,22915.0
186,FL,2006,Solar,22985.0
187,FL,2007,Solar,23160.0
188,FL,2008,Solar,23615.0
189,FL,2009,Solar,23273.0
190,FL,2010,Solar,24638.0
191,FL,2011,Solar,25868.0
192,FL,2012,Solar,27441.0
193,FL,2013,Solar,28428.0
194,FL,2014,Solar,29753.0
195,FL,2015,Solar,30133.0
196,FL,2016,Solar,30846.0
197,FL,2017,Solar,38197.0
198,FL,2018,Solar,53356.0
199,FL,2019,Solar,68405.0
200,GA,2000,Solar,224.0
201,GA,2001,Solar,226.0
202,GA,2002,Solar,231.0
203,GA,2003,Solar,236.0
204,GA,2004,Solar,234.0
205,GA,2005,Solar,237.0
206,GA,2006,Solar,241.0
207,GA,2007,Solar,245.0
208,GA,2008,Solar,264.0
209,GA,2009,Solar,293.0
210,GA,2010,Solar,388.0
211,GA,2011,Solar,536.0
212,GA,2012,Solar,750.0
213,GA,2013,Solar,1312.0
214,GA,2014,Solar,2396.0
215,GA,2015,Solar,2461.0
216,GA,2016,Solar,10256.0
217,GA,2017,Solar,20716.0
218,GA,2018,Solar,20958.0
219,GA,2019,Solar,22305.0
220,HI,2000,Solar,1283.0
221,HI,2001,Solar,1237.0
222,HI,2002,Solar,1240.0
223,HI,2003,Solar,1260.0
224,HI,2004,Solar,1273.0
225,HI,2005,Solar,1302.0
226,HI,2006,Solar,1382.0
227,HI,2007,Solar,1520.0
228,HI,2008,Solar,1799.0
229,HI,2009,Solar,2033.0
230,HI,2010,Solar,2311.0
231,HI,2011,Solar,2870.0
232,HI,2012,Solar,4333.0
233,HI,2013,Solar,6056.0
234,HI,2014,Solar,7553.0
235,HI,2015,Solar,8360.0
236,HI,2016,Solar,9813.0
237,HI,2017,Solar,12579.0
238,HI,2018,Solar,13070.0
239,HI,2019,Solar,14322.0
240,IA,2000,Solar,8.0
241,IA,2001,Solar,7.0
242,IA,2002,Solar,6.0
243,IA,2003,Solar,5.0
244,IA,2004,Solar,4.0
245,IA,2005,Solar,8.0
246,IA,2006,Solar,14.0
247,IA,2007,Solar,17.0
248,IA,2008,Solar,19.0
249,IA,2009,Solar,32.0
250,IA,2010,Solar,33.0
251,IA,2011,Solar,34.0
252,IA,2012,Solar,48.0
253,IA,2013,Solar,87.0
254,IA,2014,Solar,268.0
255,IA,2015,Solar,419.0
256,IA,2016,Solar,587.0
257,IA,2017,Solar,905.0
258,IA,2018,Solar,1291.0
259,IA,2019,Solar,1604.0
260,ID,2000,Solar,1.0
261,ID,2001,Solar,2.0
262,ID,2002,Solar,3.0
263,ID,2003,Solar,3.0
264,ID,2004,Solar,3.0
265,ID,2005,Solar,8.0
266,ID,2006,Solar,14.0
267,ID,2007,Solar,17.0
268,ID,2008,Solar,20.0
269,ID,2009,Solar,23.0
270,ID,2010,Solar,29.0
271,ID,2011,Solar,29.0
272,ID,2012,Solar,47.0
273,ID,2013,Solar,62.0
274,ID,2014,Solar,64.0
275,ID,2015,Solar,81.0
276,ID,2016,Solar,390.0
277,ID,2017,Solar,4405.0
278,ID,2018,Solar,5388.0
279,ID,2019,Solar,5500.0
280,IL,2000,Solar,208.0
281,IL,2001,Solar,248.0
282,IL,2002,Solar,326.0
283,IL,2003,Solar,393.0
284,IL,2004,Solar,520.0
285,IL,2005,Solar,670.0
286,IL,2006,Solar,826.0
287,IL,2007,Solar,956.0
288,IL,2008,Solar,1054.0
289,IL,2009,Solar,1105.0
290,IL,2010,Solar,1286.0
291,IL,2011,Solar,1322.0
292,IL,2012,Solar,1565.0
293,IL,2013,Solar,1797.0
