,iso_code,year,attr,data,count
205,TLS,17,8,84,124
206,TGO,41,62,468,1573
207,TON,41,54,212,1275
208,TTO,56,115,2083,5286
209,TKM,36,116,1437,3719
210,TCA,41,54,170,1260
211,UGA,41,56,614,1353
212,ARE,56,117,1940,5365
213,VIR,41,54,281,1275
214,URY,41,62,765,1573
215,VUT,41,54,235,1275
216,ESH,40,8,132,308
217,YEM,51,64,655,1692
218,OWID_EU27,57,108,4705,5132
219,FSM,40,5,118,178
220,TUV,40,4,41,159
221,OWID_KOS,1,33,20,33
